symbol,timeframe,baseline_trades,baseline_avg,breakout_trades,breakout_avg
AAPL,5m,181,0.043162550195210876,79,0.029324812684078133
MSFT,5m,170,-0.06428815630455442,63,-0.05932496345972423
AMZN,5m,186,0.017010212488008686,87,-0.021529798187066004
META,5m,175,0.004558755514912786,78,0.00856311808335662
GOOGL,5m,201,0.027350165379002582,71,0.012037525026570673
NFLX,5m,159,0.03390803140825535,72,-0.006009641243757847
TSLA,5m,169,0.0864718586998152,102,0.08646233970112968
NVDA,5m,202,0.001497928115466757,101,0.025946981896609947
AMD,5m,192,0.09530268224175815,91,0.09557567857866435
CRM,5m,216,-0.011774410359539222,80,-0.08880468730642307
COIN,5m,194,0.01774909266361097,81,0.01767781837326543
SHOP,5m,211,-0.043010227666226364,90,0.019999999999999987
PLTR,5m,200,0.060177188578610014,98,0.08459969432077201
RIVN,5m,187,0.06448704518827458,92,-0.026227423170506307
SNOW,5m,246,0.037541058150599826,109,0.013054208664850605
UBER,5m,198,0.03543384989343751,74,-0.02364128195563947
LYFT,5m,198,-0.004470846911272813,67,-0.1503036011550128
DKNG,5m,198,-0.07114645095283474,67,-0.10026168916132853
MAR,5m,301,0.10140856163178665,114,0.06581655167761065
ABNB,5m,246,-0.03623277240760827,83,-0.08134935292458982
QQQ,5m,209,0.021083352041124947,84,-0.02268396535696827
IWM,5m,185,0.05758235818471982,69,-0.020083295400107178
XLF,5m,198,-0.022552517711973682,70,-0.03396370043643916
XLK,5m,169,-0.00411959850497482,57,0.04885488044725685
XLE,5m,198,0.0702419002579692,77,-0.013673290017653918
BA,5m,264,0.05634155161908693,116,-0.03822749656732485
DIS,5m,191,0.07478318776284454,70,-0.024319786112665037
NKE,5m,170,0.04346757830358474,63,0.11587489690636815
INTC,5m,195,0.001731058921001353,96,-0.007477856479325404
PYPL,5m,190,0.04777368789640474,63,-0.09660430418651225
BABA,5m,209,0.08688863655529261,93,0.1309738427365494
TGT,5m,302,0.044208380764849634,121,0.01928528832936815
WMT,5m,211,0.024339421383127946,95,0.03113964424811623
COST,5m,282,0.043565696101160935,116,0.06893845261552187
GME,5m,257,0.012109179598719341,112,-0.02307739396259553
AMC,5m,267,0.09909150477372242,123,0.11005431888380043
RIOT,5m,179,-0.013407821229050296,91,1.2200253017858863e-17
MARA,5m,233,-0.0003830551246625336,113,-0.028318584070796494
F,5m,217,-0.030352488304328698,92,-0.030551596187103274
GM,5m,206,-0.04051514703594982,76,0.0035357865253666347
PFE,5m,207,-0.07682610212955134,86,-0.09640843394222182
KO,5m,195,-0.11375595406274164,72,-0.12150303362086307
PEP,5m,255,-0.01963636551000079,80,-0.12257049614930712
JPM,5m,172,-0.04333132470166869,65,-0.04210241893493135
V,5m,174,-0.018900974814551625,62,-0.0371059474566937
MA,5m,220,0.015204488709051651,77,-0.09285736066789432
HD,5m,212,0.0950685622648084,82,-0.01186327054759305
LOW,5m,287,0.11075132122370056,98,0.09825458235641407
SBUX,5m,249,0.07443655699030173,94,0.035756193992864505
NIO,5m,264,0.05078531870080921,115,-0.02649714066894363
